depth,learning_rate,l2_leaf_reg,iterations,cv_roc_auc_mean,cv_pr_auc_mean
6,0.03,5,400,0.783322375449308,0.5607471052510806
6,0.03,5,700,0.7833403980529543,0.5607087396557262
6,0.03,3,700,0.7830746358363436,0.5605488096726645
6,0.03,3,400,0.7830927145147519,0.56046294067024
6,0.05,3,400,0.7829566157274159,0.5600226308114572
6,0.05,3,700,0.7829566157274159,0.5600226308114572
6,0.05,5,400,0.7840371610548627,0.5599785718685333
6,0.05,5,700,0.7840371610548627,0.5599785718685333
4,0.05,5,400,0.7818760113939133,0.5567098646672722
4,0.05,5,700,0.7819291091419796,0.5566986809704897
4,0.03,3,700,0.7826993430145324,0.556263926087263
4,0.05,3,400,0.7825962443890164,0.5562607780666409
4,0.05,3,700,0.7825962443890164,0.5562607780666409
4,0.03,5,700,0.7827562062924043,0.5562420175511543
4,0.03,3,400,0.782464418219527,0.5558209817587025
4,0.03,5,400,0.7821449755303587,0.5553242651168793
